Timestamp,Motor 1 Power,Motor 2 Power,Motor 3 Power,Motor 4 Power,Motor 5 Power,Motor 6 Power,Motor 7 Power,Motor 8 Power,Motor 9 Power,Motor 10 Power,Motor 11 Power,Motor 12 Power,Motor 1 Torque,Motor 2 Torque,Motor 3 Torque,Motor 4 Torque,Motor 5 Torque,Motor 6 Torque,Motor 7 Torque,Motor 8 Torque,Motor 9 Torque,Motor 10 Torque,Motor 11 Torque,Motor 12 Torque,Motor 1 Velocity,Motor 2 Velocity,Motor 3 Velocity,Motor 4 Velocity,Motor 5 Velocity,Motor 6 Velocity,Motor 7 Velocity,Motor 8 Velocity,Motor 9 Velocity,Motor 10 Velocity,Motor 11 Velocity,Motor 12 Velocity,Battery Voltage
37,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0095,-0.1814,0.0691,0.1106,0.0034,-0.0053,0.0053,0.0110,0.0164,0.1412,-0.2026,-0.0318,0.0028,-0.0104,-0.0077,-0.0008,-0.0002,0.0141,-0.0071,-0.0049,-0.0100,-0.0069,0.0062,0.0091,23.3750
38,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0026,-0.1834,0.0660,0.1129,0.0084,-0.0101,0.0071,0.0132,0.0146,0.1463,-0.2026,-0.0296,0.0001,0.0047,0.0086,-0.0136,0.0049,0.0155,-0.0038,-0.0015,-0.0023,-0.0112,-0.0055,-0.0196,23.3750
39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0045,-0.1830,0.0696,0.1112,0.0022,-0.0093,0.0065,0.0139,0.0158,0.1442,-0.1981,-0.0307,-0.0032,0.0088,-0.0116,-0.0060,0.0067,-0.0251,-0.0062,0.0037,-0.0064,0.0110,0.0140,-0.0084,23.3750
40,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0019,-0.1815,0.0660,0.1073,0.0077,-0.0082,0.0069,0.0135,0.0141,0.1474,-0.1986,-0.0286,-0.0100,0.0048,0.0103,-0.0042,0.0026,-0.0000,0.0202,0.0096,0.0039,0.0005,0.0001,-0.0006,23.3333
41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0079,-0.1821,0.0679,0.1117,0.0039,-0.0073,0.0050,0.0124,0.0140,0.1456,-0.2011,-0.0286,0.0186,0.0106,0.0003,0.0040,0.0020,-0.0022,0.0103,-0.0036,-0.0059,-0.0139,-0.0001,-0.0064,23.3750
42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0070,-0.1826,0.0667,0.1095,0.0042,-0.0115,0.0068,0.0126,0.0152,0.1422,-0.1962,-0.0295,-0.0079,-0.0025,-0.0187,0.0103,0.0073,-0.0084,0.0024,0.0064,0.0070,-0.0068,-0.0025,0.0139,23.3750
43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0023,-0.1837,0.0672,0.1111,0.0035,-0.0109,0.0045,0.0111,0.0129,0.1451,-0.1991,-0.0278,0.0075,0.0022,0.0097,-0.0044,-0.0034,-0.0072,-0.0023,-0.0132,0.0020,-0.0040,-0.0053,-0.0101,23.3750
44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0445,-0.1501,0.0778,0.1218,0.0075,-0.0133,0.0093,0.0137,0.0115,0.1233,-0.1374,-0.0486,-0.0083,0.0166,0.0051,0.0172,0.0042,-0.0046,0.0120,0.0104,-0.0049,-0.0144,0.0097,-0.0243,23.4167
45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0129,-0.2089,0.0795,0.1225,0.0013,-0.0126,0.0033,0.0142,0.0162,0.1783,-0.2064,-0.0338,0.0843,-0.1343,-0.1409,0.1223,-0.0650,-0.0145,-0.0689,0.0039,-0.0067,0.3038,-0.2690,0.2927,23.2917
46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0144,-0.2201,0.0720,0.1260,0.0068,-0.0134,-0.0008,0.0146,0.0153,0.1826,-0.2066,-0.0251,0.0034,-0.0176,0.0228,0.0014,0.0061,0.0031,0.0074,-0.0022,0.0055,0.0132,0.0027,-0.0196,23.2083
47,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0089,-0.1749,0.0629,0.1282,0.0031,-0.0176,0.0031,0.0111,0.0142,0.1358,-0.1967,-0.0311,-0.0125,-0.0455,-0.0026,0.0067,0.0025,-0.0031,0.0010,0.0095,-0.0023,0.0132,-0.0062,-0.0242,23.3333
48,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0433,-0.1491,0.0817,0.1098,0.0002,-0.0151,0.0031,0.0128,0.0102,0.1266,-0.1345,-0.0472,0.0002,0.0022,-0.0046,0.0100,0.0022,-0.0138,0.0031,0.0077,0.0158,0.0105,-0.0173,-0.0050,23.3750
